run,step,simulation_seconds,physics_step_ms,stress_solve_ms,frame_host_ms,bodies,awake_bodies,splits_total,contacts_total,resim_passes,correction_status,contacts_frame,projectiles_active,bonds_broken,stress_iterations,stress_converged,observation_ms,gpu_render_submit_and_export_ms,logical_clusters,native_dynamic_bodies,native_kinematic_bodies,active_dynamic_bodies,active_kinematic_bodies,contact_pairs,contact_pairs_with_contacts,solver_rows,stress_active_nodes,stress_active_bonds,stress_islands,graph_d2h_bytes,pre_solve_pairs,simulation_start_ns,simulation_end_ns,process_cpu_ms,complete_step_ms,command_ms,completion_ms,complete_start_ns,complete_end_ns,phase_output_start_ns,phase_output_end_ns,stress_passes,post_correction_bonds_broken,contact_reuse_fallbacks
idle-256-A-before-0,47,0.80000007152557373,1.4375929999999999,0,1.750624,256,0,0,0,0,0,0,0,0,0,1,0.21640799999999999,0,256,0,256,0,0,0,0,0,97280,200704,256,0,0,62339038749557,62339040190807,2.191284,1.655802,0.00014300000000000001,0.21806600000000009,62339038749379,62339040404800,0,0,1,0,0
idle-256-A-before-0,48,0.81666672229766846,1.3845879999999999,0,1.7219469999999999,256,0,0,0,0,0,0,0,0,0,1,0.238092,0,256,0,256,0,0,0,0,0,97280,200704,256,0,0,62339040514742,62339041902991,2.1697820000000001,1.624304,0.00014300000000000001,0.23957300000000004,62339040514562,62339042138478,0,0,1,0,0
idle-256-A-before-0,49,0.83333337306976318,1.5232540000000001,0,1.916185,256,0,0,0,0,0,0,0,0,0,1,0.268955,0,256,0,256,0,0,0,0,0,97280,200704,256,0,0,62339042251193,62339043778046,2.098182,1.7936859999999999,0.000184,0.27024799999999982,62339042250979,62339044044280,0,0,1,0,0
idle-256-A-before-0,50,0.85000002384185791,1.3886959999999999,0,1.7166189999999999,256,0,0,0,0,0,0,0,0,0,1,0.228356,0,256,0,256,0,0,0,0,0,97280,200704,256,0,0,62339044181643,62339045574157,2.172596,1.6191169999999999,0.00021100000000000001,0.23021000000000003,62339044181428,62339045800147,0,0,1,0,0
idle-256-A-before-0,51,0.86666673421859741,1.391313,0,1.7074199999999999,256,0,0,0,0,0,0,0,0,0,1,0.218169,0,256,0,256,0,0,0,0,0,97280,200704,256,0,0,62339045912501,62339047307530,2.1924450000000002,1.6111800000000001,0.00014300000000000001,0.21972400000000003,62339045912327,62339047523143,0,0,1,0,0
idle-256-A-before-0,52,0.88333338499069214,1.3002,0,1.6217809999999999,256,0,0,0,0,0,0,0,0,0,1,0.22275600000000001,0,256,0,256,0,0,0,0,0,97280,200704,256,0,0,62339047634275,62339048938344,1.9905630000000001,1.5249410000000001,0.00014300000000000001,0.22459800000000008,62339047634101,62339049158652,0,0,1,0,0
idle-256-A-before-0,53,0.90000003576278687,1.312425,0,1.639527,256,0,0,0,0,0,0,0,0,0,1,0.22740099999999999,0,256,0,256,0,0,0,0,0,97280,200704,256,0,0,62339049270527,62339050586808,2.1844169999999998,1.541283,0.00014999999999999999,0.22870799999999991,62339049270340,62339050811259,0,0,1,0,0
idle-256-A-before-0,54,0.91666668653488159,1.475781,0,1.8009090000000001,256,0,0,0,0,0,0,0,0,0,1,0.21592900000000001,0,256,0,256,0,0,0,0,0,97280,200704,256,0,0,62339050924562,62339052404159,2.438679,1.6933640000000001,0.000174,0.21740900000000019,62339050924354,62339052617337,0,0,1,0,0
idle-256-A-before-0,55,0.93333339691162109,1.4350769999999999,0,1.7704169999999999,256,0,0,0,0,0,0,0,0,0,1,0.23741399999999999,0,256,0,256,0,0,0,0,0,97280,200704,256,0,0,62339052739775,62339054178567,2.271798,1.673589,0.00013999999999999999,0.23837200000000003,62339052739598,62339054412813,0,0,1,0,0
idle-256-A-before-0,56,0.95000004768371582,1.466944,0,1.7893019999999999,256,0,0,0,0,0,0,0,0,0,1,0.21130699999999999,0,256,0,256,0,0,0,0,0,97280,200704,256,0,0,62339054524920,62339055995671,2.3100149999999999,1.6937770000000001,0.00017100000000000001,0.22666200000000014,62339054524713,62339056218100,0,0,1,0,0
