run,step,complete_step_ms,command_ms,physics_step_ms,completion_ms,resim_passes,stress_passes,contacts_frame,bonds_broken,stress_iterations
idle-256-B-0,104.0,1.498624,0.000339,1.284055,0.21422999999999992,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,105.0,1.535973,0.000231,1.328777,0.20696499999999984,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,106.0,1.340779,0.000217,1.132109,0.208453,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,107.0,1.530569,0.000215,1.325093,0.20526099999999992,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,108.0,1.452433,0.000209,1.249886,0.20233800000000013,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,109.0,1.574412,0.000183,1.35655,0.21767899999999996,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,110.0,1.392486,0.000194,1.194084,0.19820799999999994,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,111.0,1.256731,0.000175,1.061952,0.194604,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,112.0,1.399723,0.000306,1.198586,0.2008310000000002,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,113.0,1.495071,0.000232,1.239277,0.25556200000000007,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,114.0,1.267136,0.000302,1.064743,0.20209100000000002,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,115.0,1.362222,0.000285,1.154267,0.20767000000000002,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,116.0,1.406705,0.000218,1.21082,0.19566700000000004,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,117.0,1.173703,0.000232,0.97419,0.19928099999999993,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,118.0,1.208975,0.00031,1.005665,0.20299999999999985,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,119.0,1.198687,0.0002,1.027456,0.17103100000000016,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,120.0,3.69549,0.00018,3.448864,0.24644600000000016,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,121.0,1.5252,0.000349,1.314929,0.20992199999999994,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,122.0,1.272373,0.00019,1.099534,0.17264900000000005,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,123.0,1.499867,0.000208,1.299979,0.19968000000000008,0.0,1.0,0.0,0.0,0.0
idle-256-B-0,124.0,1.425415,0.000185,1.178654,0.2465759999999999,0.0,1.0,0.0,0.0,0.0
